Fecha,Indice general,Alimentos y bebidad,Vivienda,Educación,Transporte
01/01/2005,58.309160000000,48.995461000000,70.298606000000,53.643844000000,54.333225000000
01/02/2005,58.503431000000,49.212898000000,70.562171000000,53.755859000000,54.605210000000
01/03/2005,58.767121000000,49.349664000000,70.662508000000,53.807748000000,54.812722000000
01/04/2005,58.976415000000,49.448802000000,70.785253000000,53.850354000000,55.083081000000
01/05/2005,58.828251000000,49.595976000000,70.868183000000,53.896632000000,55.164230000000
01/06/2005,58.771783000000,49.746076000000,70.975953000000,54.012574000000,55.270580000000
01/07/2005,59.001800000000,49.782797000000,71.123244000000,54.058919000000,55.253771000000
01/08/2005,59.072255000000,49.851742000000,71.231093000000,54.591442000000,55.316646000000
01/09/2005,59.309006000000,50.045914000000,71.422832000000,56.891555000000,55.466773000000
01/10/2005,59.454580000000,50.228862000000,71.627139000000,56.889063000000,55.484327000000
01/11/2005,59.882493000000,50.344314000000,71.775701000000,56.889063000000,55.589350000000
01/12/2005,60.250312000000,50.541415000000,71.902124000000,56.890253000000,55.666655000000
01/01/2006,60.603626000000,50.762803000000,72.160702000000,57.030940000000,56.049798000000
01/02/2006,60.696358000000,50.991693000000,72.458020000000,57.218584000000,56.091118000000
01/03/2006,60.772512000000,51.131948000000,72.812426000000,57.287105000000,56.216554000000
01/04/2006,60.861617000000,51.215338000000,73.124963000000,57.360132000000,56.259360000000
01/05/2006,60.590675000000,51.322859000000,73.429082000000,57.437566000000,56.311155000000
01/06/2006,60.642998000000,51.469205000000,73.733009000000,57.528910000000,56.353253000000
01/07/2006,60.809294000000,51.605285000000,73.919792000000,57.570421000000,56.476156000000
01/08/2006,61.119609000000,51.714940000000,74.077101000000,58.049366000000,56.822342000000
01/09/2006,61.736612000000,52.111821000000,74.201684000000,60.134136000000,56.872885000000
01/10/2006,62.006519000000,52.370629000000,74.293234000000,60.134136000000,56.910852000000
01/11/2006,62.331857000000,52.704870000000,74.401465000000,60.134136000000,56.943927000000
01/12/2006,62.692424000000,53.118954000000,74.584495000000,60.136427000000,57.061493000000
01/01/2007,63.016208000000,53.893661000000,74.891471000000,60.249346000000,57.918986000000
01/02/2007,63.192347000000,54.075038000000,75.218881000000,60.426798000000,58.224378000000
01/03/2007,63.329113000000,54.157194000000,75.426135000000,60.495318000000,58.286140000000
01/04/2007,63.291295000000,54.282628000000,75.631986000000,60.564974000000,58.325381000000
01/05/2007,62.982534000000,54.477876000000,75.794707000000,60.624211000000,58.357324000000
01/06/2007,63.058170000000,54.751047000000,75.910388000000,60.768342000000,58.434389000000
01/07/2007,63.326005000000,55.087287000000,76.054111000000,60.822431000000,58.496582000000
01/08/2007,63.583996000000,55.369503000000,76.242683000000,61.468765000000,58.642864000000
01/09/2007,64.077703000000,55.773244000000,76.436138000000,63.543088000000,58.695962000000
01/10/2007,64.327405000000,56.334129000000,76.551808000000,63.543088000000,58.771534000000
01/11/2007,64.781221000000,56.728400000000,76.700277000000,63.543088000000,58.822098000000
01/12/2007,65.049056000000,57.114183000000,76.827826000000,63.552536000000,58.936099000000
01/01/2008,65.350564000000,57.611231000000,77.233484000000,63.760200000000,59.558207000000
01/02/2008,65.544834000000,57.894043000000,77.682489000000,63.879772000000,60.510357000000
01/03/2008,66.019891000000,58.305109000000,77.947878000000,63.946080000000,61.325374000000
01/04/2008,66.170127000000,58.907812000000,78.244428000000,64.024236000000,61.564454000000
01/05/2008,66.098635000000,59.596526000000,78.569426000000,64.083807000000,61.589945000000
01/06/2008,66.372168000000,60.003623000000,78.796727000000,64.188656000000,61.627865000000
01/07/2008,66.742059000000,60.283058000000,79.017495000000,64.301066000000,62.140233000000
01/08/2008,67.127492000000,60.694458000000,79.197947000000,64.981182000000,63.135551000000
01/09/2008,67.584935000000,61.015888000000,79.369234000000,67.203764000000,63.976713000000
01/10/2008,68.045486000000,61.170505000000,79.695072000000,67.209333000000,64.217967000000
01/11/2008,68.818942000000,61.667128000000,79.977000000000,67.208793000000,64.574122000000
01/12/2008,69.295552000000,62.514737000000,80.071322000000,67.214762000000,64.735562000000
01/01/2009,69.456149000000,63.201455000000,80.287561000000,67.366503000000,65.878454000000
01/02/2009,69.609494000000,63.391279000000,80.706756000000,67.634136000000,66.222640000000
01/03/2009,70.009950000000,63.792062000000,81.024972000000,67.676384000000,66.281221000000
01/04/2009,70.254990000000,64.248651000000,81.110168000000,67.713677000000,66.364192000000
01/05/2009,70.050358000000,64.612493000000,81.223406000000,67.780273000000,66.367048000000
01/06/2009,70.179354000000,64.759035000000,81.336487000000,67.830170000000,66.379327000000
01/07/2009,70.370516000000,64.867370000000,81.461133000000,67.903861000000,66.488084000000
01/08/2009,70.538884000000,65.011004000000,81.565485000000,68.284840000000,67.179582000000
01/09/2009,70.892716000000,65.285818000000,81.726667000000,69.979615000000,67.376771000000
01/10/2009,71.107191000000,65.662448000000,81.850375000000,69.980408000000,67.439972000000
01/11/2009,71.476046000000,65.740200000000,81.962505000000,69.980411000000,67.488677000000
01/12/2009,71.771855000000,66.095439000000,82.192241000000,69.989852000000,67.559323000000
01/01/2010,72.552046000000,66.929522000000,82.620922000000,70.224527000000,69.714649000000
01/02/2010,72.971671000000,67.207455000000,82.965734000000,70.410212000000,71.099687000000
01/03/2010,73.489725000000,67.315770000000,83.156831000000,70.456534000000,71.756226000000
01/04/2010,73.255565000000,67.428079000000,83.246828000000,70.497051000000,72.192352000000
01/05/2010,72.793978000000,67.602560000000,83.458566000000,70.557003000000,72.289946000000
01/06/2010,72.771183000000,67.457378000000,83.638344000000,70.629067000000,72.645644000000
01/07/2010,72.929190000000,67.447823000000,83.757402000000,70.705628000000,72.719015000000
01/08/2010,73.131750000000,67.503478000000,83.887656000000,71.310467000000,72.847690000000
01/09/2010,73.515110000000,67.571822000000,84.007416000000,73.237502000000,72.917525000000
01/10/2010,73.968926000000,67.874141000000,84.112534000000,73.237515000000,72.952151000000
01/11/2010,74.561581000000,68.237276000000,84.218965000000,73.237121000000,73.041783000000
01/12/2010,74.930954000000,68.972857000000,84.360100000000,73.239906000000,73.227825000000
01/01/2011,75.295991000000,69.946038000000,84.550579000000,73.466489000000,74.038264000000
01/02/2011,75.578460000000,70.418372000000,84.720845000000,73.568557000000,74.215022000000
01/03/2011,75.723451000000,71.049464000000,84.901650000000,73.598129000000,74.103849000000
01/04/2011,75.717441000000,71.461156000000,85.071241000000,73.650721000000,74.083857000000
01/05/2011,75.159264000000,71.824654000000,85.242051000000,73.673772000000,74.339994000000
01/06/2011,75.155508000000,72.090710000000,85.400122000000,73.727471000000,74.470452000000
01/07/2011,75.516107000000,72.317180000000,85.493593000000,73.784561000000,74.665491000000
01/08/2011,75.635555000000,72.333364000000,85.583705000000,74.771606000000,74.789513000000
01/09/2011,75.821113000000,72.520133000000,85.710656000000,76.268696000000,74.817240000000
01/10/2011,76.332712000000,72.937556000000,85.835511000000,76.307431000000,74.835619000000
01/11/2011,77.158333000000,73.295346000000,85.958363000000,76.307061000000,74.881440000000
01/12/2011,77.792385000000,74.020570000000,86.077337000000,76.307124000000,74.979077000000
01/01/2012,78.343049000000,74.966911000000,86.231784000000,76.636770000000,75.468582000000
01/02/2012,78.502314000000,75.556743000000,86.395566000000,76.819493000000,75.111469000000
01/03/2012,78.547389000000,75.759042000000,86.549445000000,76.822575000000,74.558437000000
01/04/2012,78.300980000000,76.045519000000,86.685327000000,76.836274000000,74.491925000000
01/05/2012,78.053819000000,76.361700000000,86.830105000000,77.009593000000,74.586630000000
01/06/2012,78.413667000000,76.724624000000,86.979279000000,77.134227000000,74.691368000000
01/07/2012,78.853897000000,77.093923000000,87.126060000000,77.198914000000,74.714335000000
01/08/2012,79.090540000000,77.257222000000,87.254492000000,77.935993000000,74.765632000000
01/09/2012,79.439119000000,77.529191000000,87.411776000000,79.718022000000,74.894268000000
01/10/2012,79.841036000000,77.811386000000,87.550451000000,79.718022000000,75.018878000000
01/11/2012,80.383437000000,78.181643000000,87.699802000000,79.718022000000,75.263222000000
01/12/2012,80.568243000000,78.544500000000,87.845321000000,79.726112000000,75.317949000000
01/01/2013,80.892782000000,78.884485000000,88.017355000000,80.123351000000,75.935339000000
01/02/2013,81.290943000000,79.027560000000,88.198183000000,80.317780000000,76.781054000000
01/03/2013,81.887433000000,79.228208000000,88.363796000000,80.325739000000,77.072364000000
01/04/2013,81.941523000000,79.455271000000,88.509543000000,80.346489000000,79.157015000000
01/05/2013,81.668820000000,79.708161000000,88.684565000000,80.395125000000,79.444894000000
01/06/2013,81.619238000000,79.750676000000,88.900995000000,80.481333000000,80.031008000000
01/07/2013,81.592193000000,79.795598000000,89.052614000000,80.600712000000,80.316900000000
01/08/2013,81.824328000000,79.927090000000,89.224660000000,81.483795000000,80.646192000000
01/09/2013,82.132340000000,80.132225000000,89.341154000000,83.244769000000,80.789877000000
01/10/2013,82.522988000000,80.363205000000,89.470265000000,83.237992000000,80.894801000000
01/11/2013,83.292265000000,80.386555000000,89.626280000000,83.247153000000,81.021577000000
01/12/2013,83.770058000000,80.645030000000,89.772891000000,83.247153000000,82.339109000000
01/01/2014,84.519052000000,82.540963000000,89.966143000000,83.585200000000,84.302132000000
01/02/2014,84.733157000000,82.768234000000,90.181351000000,83.835187000000,84.564181000000
