date,oro,plata,petroleo,gas_natural,indice_oro,indice_plata,indice_petroleo,indice_gas_natural,indice_general_mx,alimentos_bebidas_mx,vivienda_mx,educacion_mx,transporte_mx,indice_general_es,alimentos_bebidas_es,vivienda_es,educacion_es,transporte_es,sui_h_es,sui_m_es,sui_es,sui_m_mx,sui_h_mx,sui_mx
2015-12-01,1060.3,13.77,37.04,2.34,85.45982106875151,83.10199155099576,80.45178105994786,76.9736842105263,89.05,87.2,93.54,90.55,87.94,93.66,91.79,92.06,96.39,87.72,223.33333333333334,76.83333333333333,300.1666666666667,104.25,419.25,535.4166666666666
2016-01-01,1116.4,14.23,33.62,2.3,89.98146207785928,85.87809293904647,73.02345786272807,75.6578947368421,89.39,87.53,93.77,90.95,88.94,91.88,92.29,88.88,96.41,86.16,221.83333333333334,75.58333333333333,297.4166666666667,97.75,426.3333333333333,530.8333333333334
2016-02-01,1233.9,14.9,33.75,1.71,99.45192230192633,89.92154496077248,73.30582102519548,56.25,89.78,87.77,94.0,91.15,89.28,91.55,91.79,87.45,96.39,85.55,221.83333333333334,75.58333333333333,297.4166666666667,97.75,426.3333333333333,530.8333333333334
2016-03-01,1234.2,15.46,38.34,1.96,99.47610220037076,93.30114665057333,83.27541268462207,64.47368421052632,89.91,88.06,94.22,91.16,89.34,92.14,91.75,87.38,96.39,86.84,221.83333333333334,75.58333333333333,297.4166666666667,97.75,426.3333333333333,530.8333333333334
2016-04-01,1289.2,17.79,45.92,2.18,103.90908358184896,107.36270368135183,99.73935708079931,71.71052631578948,89.63,88.39,94.41,91.18,88.26,92.78,91.91,86.65,96.4,87.54,221.83333333333334,75.58333333333333,297.4166666666667,97.75,426.3333333333333,530.8333333333334
2016-05-01,1303.8000000000002,18.185,47.125,2.55,105.08583863947774,109.74652987326492,102.35664639443962,83.88157894736842,89.23,88.79,94.59,91.22,87.78,93.29,92.17,86.83,96.41,88.87,221.83333333333334,75.58333333333333,297.4166666666667,97.75,426.3333333333333,530.8333333333334
2016-06-01,1318.4,18.58,48.33,2.92,106.26259369710647,112.13035606517803,104.97393570807994,96.05263157894737,89.32,89.1,94.78,91.31,87.86,93.72,92.41,88.63,96.41,89.74,221.83333333333334,75.58333333333333,297.4166666666667,97.75,426.3333333333333,530.8333333333334
2016-07-01,1349.0,20.31,41.6,2.88,108.72894333843797,122.57091128545564,90.35621198957429,94.73684210526315,89.56,89.17,94.97,91.47,89.62,93.04,93.0,88.76,96.42,89.16,221.83333333333334,75.58333333333333,297.4166666666667,97.75,426.3333333333333,530.8333333333334
2016-08-01,1306.9,18.62,44.7,2.89,105.33569759007013,112.3717561858781,97.08948740225891,95.06578947368422,89.81,89.23,95.12,92.31,89.68,93.16,92.96,88.74,96.42,89.11,221.83333333333334,75.58333333333333,297.4166666666667,97.75,426.3333333333333,530.8333333333334
2016-09-01,1313.3,19.14,48.24,2.91,105.85153542355121,115.50995775497887,104.77845351867943,95.72368421052632,90.36,89.83,95.26,94.4,89.77,93.16,92.14,89.15,96.69,89.6,221.83333333333334,75.58333333333333,297.4166666666667,97.75,426.3333333333333,530.8333333333334
2016-10-01,1271.5,17.76,46.86,3.03,102.48246957362778,107.18165359082681,101.78105994787141,99.67105263157893,90.91,90.28,95.43,94.4,89.93,94.23,92.22,91.02,97.2,90.63,221.83333333333334,75.58333333333333,297.4166666666667,97.75,426.3333333333333,530.8333333333334
2016-11-01,1170.8,16.41,49.44,3.35,94.3660836624486,99.03439951719976,107.38488271068636,110.19736842105263,91.62,90.56,95.6,94.4,90.03,94.57,92.11,91.62,97.28,90.31,221.83333333333334,75.58333333333333,297.4166666666667,97.75,426.3333333333333,530.8333333333334
2016-12-01,1150.0,15.94,53.72,3.72,92.68961070363504,96.19794809897404,116.68114682884448,122.36842105263159,92.04,91.05,95.8,94.4,90.23,95.13,92.52,92.82,97.3,91.81,221.83333333333334,75.58333333333333,297.4166666666667,97.75,426.3333333333333,530.8333333333334
2017-01-01,1201.3,17.18,53.864999999999995,3.245,96.82437333763197,103.6813518406759,116.996090356212,106.74342105263158,93.6,92.14,96.08,94.86,92.05,94.61,93.19,95.46,97.34,92.69,226.5,80.08333333333333,306.5833333333333,101.08333333333333,439.9166666666667,546.5833333333334
2017-02-01,1252.6,18.42,54.01,2.77,100.95913597162891,111.1647555823778,117.31103388357948,91.11842105263158,94.14,93.06,96.39,95.17,92.8,94.27,93.34,92.6,97.33,92.82,226.5,80.08333333333333,306.5833333333333,101.08333333333333,439.9166666666667,546.5833333333334
